object_id|attribute_id|context_id
1013|2010|3002
1013|2011|3002
1013|2020|3002
1013|2025|3002
1017|2001|3002
1017|2009|3002
1017|2014|3002
1017|2019|3002
1017|2020|3002
1017|2025|3002
1018|2003|3002
1018|2010|3002
1018|2015|3002
1020|2003|3002
1020|2008|3002
1020|2019|3002
1020|2020|3002
1020|2023|3002
1020|2025|3002
1020|2028|3002
1026|2002|3002
1026|2005|3002
1026|2006|3002
1026|2007|3002
1026|2010|3002
1026|2016|3002
1026|2020|3002
1026|2021|3002
1026|2025|3002
1027|2022|3002
1027|2024|3002
1036|2015|3002
1036|2017|3002
1036|2020|3002
1040|2002|3002
1040|2009|3002
1040|2025|3002
1042|2003|3002
1042|2011|3002
1042|2015|3002
1042|2025|3002
1045|2003|3002
1045|2012|3002
1045|2017|3002
1045|2020|3002
1045|2028|3002
1050|2005|3002
1050|2007|3002
1054|2002|3002
1054|2010|3002
1054|2015|3002
1054|2017|3002
1054|2026|3002
1057|2019|3002
1057|2025|3002
1057|2028|3002
1061|2010|3002
1061|2020|3002
1061|2022|3002
1062|2015|3002
1003|2080|3003
1005|2065|3003
1005|2076|3003
1011|2080|3003
1013|2061|3003
1013|2070|3003
1013|2077|3003
1017|2074|3003
1017|2075|3003
1017|2078|3003
1017|2080|3003
1018|2063|3003
1018|2067|3003
1018|2072|3003
1026|2070|3003
1026|2091|3003
1040|2070|3003
1040|2081|3003
1042|2061|3003
1042|2070|3003
1045|2064|3003
1050|2061|3003
1050|2065|3003
1057|2062|3003
1057|2066|3003
1057|2080|3003
1061|2061|3003
1062|2067|3003
1001|2029|3001
1001|2030|3001
1001|2045|3001
1001|2046|3001
1001|2053|3001
1003|2033|3001
1003|2049|3001
1003|2051|3001
1003|2060|3001
1005|2042|3001
1005|2043|3001
1005|2050|3001
1005|2055|3001
1005|2090|3001
1008|2046|3001
1008|2058|3001
1011|2033|3001
1011|2049|3001
1011|2051|3001
1011|2054|3001
1013|2030|3001
1013|2053|3001
1017|2032|3001
1017|2033|3001
1017|2051|3001
1018|2032|3001
1018|2036|3001
1018|2046|3001
1018|2053|3001
1020|2033|3001
1020|2046|3001
1020|2051|3001
1036|2029|3001
1036|2038|3001
1036|2048|3001
1036|2053|3001
1026|2047|3001
1026|2055|3001
1026|2059|3001
1026|2090|3001
1027|2035|3001
1027|2059|3001
1027|2090|3001
1027|2037|3001
1040|2040|3001
1040|2041|3001
1040|2042|3001
1040|2055|3001
1040|2090|3001
1042|2036|3001
1042|2038|3001
1042|2053|3001
1045|2045|3001
1045|2046|3001
1045|2057|3001
1050|2048|3001
1050|2050|3001
1050|2052|3001
1050|2056|3001
1050|2090|3001
1054|2059|3001
1054|2090|3001
1057|2033|3001
1057|2051|3001
1057|2054|3001
1057|2060|3001
1061|2059|3001
1061|2090|3001
1061|2037|3001
1062|2030|3001
1062|2031|3001
1062|2039|3001
1062|2053|3001
